zip_code,refnis,pop_dens,income_1y,income_17y,province,commune,big_5_dist,big_15_dist
1000,21004,5948,15365.29,12417.6,Bruxelles,Bruxelles,0,0
1020,21004,5948,15365.29,12417.6,Bruxelles,Bruxelles,0,0
1030,21015,16504,14931.3,11765.45,Bruxelles,Schaerbeek,3,3
1040,21005,15681,18010.01,14054.76,Bruxelles,Etterbeek,5,5
1050,21009,13925,20531.96,15448.73,Bruxelles,Ixelles,3,3
1060,21013,19454,16719.87,12410.34,Bruxelles,Saint-Gilles,4,4
1070,21001,7066,13578.3,11679.31,Bruxelles,Anderlecht,2,2
1080,21012,16351,12608.65,10354.29,Bruxelles,Molenbeek-Saint-Jean,2,2
1081,21011,19161,14569.18,12667.51,Bruxelles,Koekelberg,3,3
1082,21003,8741,17842.49,15431.52,Bruxelles,Berchem-Sainte-Agathe,5,5
1083,21008,10487,17259.55,15141.22,Bruxelles,Ganshoren,4,4
1090,21010,10426,17226.63,14763.67,Bruxelles,Jette,4,4
1120,21004,5948,15365.29,12417.6,Bruxelles,Bruxelles,0,0
1130,21004,5948,15365.29,12417.6,Bruxelles,Bruxelles,0,0
1140,21006,8826,15962.89,13555.7,Bruxelles,Evere,8,8
1150,21019,4759,24490.32,19385.21,Bruxelles,Woluwe-Saint-Pierre,6,6
1160,21002,3942,22633.83,18015.96,Bruxelles,Auderghem,8,8
1170,21017,1950,23441.18,19322.61,Bruxelles,Watermael-Boitsfort,9,9
1180,21016,3794,24200.73,19236.1,Bruxelles,Uccle,8,8
1190,21007,9224,17638.57,14400.71,Bruxelles,Forest,7,7
1200,21018,8332,20266.11,16782.5,Bruxelles,Woluwe-Saint-Lambert,6,6
1210,21014,23173,11873.8,8980.9,Bruxelles,Saint-Josse-ten-Noode,2,2
1300,25112,844,24372.44,19664.18,Brabant Wallon,Wavre,33,23
1301,25112,844,24372.44,19664.18,Brabant Wallon,Wavre,33,23
1310,25050,485,27054.39,21347.76,Brabant Wallon,La Hulpe,28,25
1315,25043,145,24663.08,19753.04,Brabant Wallon,Incourt,48,24
1320,25005,187,26011.94,20642.11,Brabant Wallon,Beauvechain,38,14
1325,25018,244,29066.0,22295.19,Brabant Wallon,Chaumont-Gistoux,41,25
1330,25091,1315,26878.1,21446.86,Brabant Wallon,Rixensart,33,29
1331,25091,1315,26878.1,21446.86,Brabant Wallon,Rixensart,33,29
1332,25091,1315,26878.1,21446.86,Brabant Wallon,Rixensart,33,29
1340,25121,947,22936.74,18472.28,Brabant Wallon,Ottignies-Louvain-la-Neuve,39,30
1341,25121,947,22936.74,18472.28,Brabant Wallon,Ottignies-Louvain-la-Neuve,39,30
1342,25121,947,22936.74,18472.28,Brabant Wallon,Ottignies-Louvain-la-Neuve,39,30
1348,25121,947,22936.74,18472.28,Brabant Wallon,Ottignies-Louvain-la-Neuve,39,30
